Année du Baccalauréat;Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
2021;Mathématiques Spécialité,Numérique et Sciences Informatiques;Licence Chimie;618;134;16
2021;Mathématiques Spécialité,Numérique et Sciences Informatiques;Ecoles d'ingénieurs;3153;1911;1290
2021;Mathématiques Spécialité,Sciences Economiques et Sociales Spécialité;Licence Electronique, Génie électrique, EEA;2;2;0
2021;Mathématiques Spécialité,Sciences de la vie et de la Terre Spécialité;Autres formations;4174;1038;415
2021;Mathématiques Spécialité,Sciences de la vie et de la Terre Spécialité;DEUST;734;246;66
2021;Numérique et Sciences Informatiques,Humanités, Littérature et Philosophie;Licence Langues et littératures françaises;22;20;9
2021;Numérique et Sciences Informatiques,Langues, littératures et cultures étrangères et régionales;Licence Arts;159;91;29
2021;Numérique et Sciences Informatiques,Langues, littératures et cultures étrangères et régionales;D.E sanitaire;14;2;2
2021;Physique-Chimie Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Chimie;45;16;2
2021;Physique-Chimie Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Histoire;277;237;96
2021;Physique-Chimie Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences et technologies industrielles;14;4;1
2021;Physique-Chimie Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences religieuses;0;0;0
2021;Physique-Chimie Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences économiques;20;8;3
2021;Physique-Chimie Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Ecoles d'ingénieurs;19;6;5
2021;Physique-Chimie Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Géographie;21;16;5
2021;Physique-Chimie Spécialité,Langues, littératures et cultures étrangères et régionales;Licence LEA;291;241;84
2021;Physique-Chimie Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Mathématiques et informatique;0;0;0
2021;Physique-Chimie Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Electronique, Génie électrique, EEA;9;9;1
2021;Physique-Chimie Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Sciences juridiques;30;18;9
2021;Physique-Chimie Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Sociologie, Démographie;8;7;2
2021;Physique-Chimie Spécialité,Sciences de la vie et de la Terre Spécialité;Sciences po;487;31;21
2021;Sciences Economiques et Sociales Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Physique et chimie;26;4;1
2021;Sciences Economiques et Sociales Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence L.AS;36601;1393;249
